Day,Stock_Price,BS_Delta
1,1509.8493712791899,0.48107317991588583
2,1507.1806225099133,0.4745653058831525
3,1520.1780748356387,0.5013834946779173
4,1551.0743679149566,0.5656763004885076
5,1546.37774658223,0.555533159056494
6,1541.6956800269058,0.5452354841077273
7,1574.194205809061,0.612268388885279
8,1590.2767138420984,0.6442281919372541
9,1580.5530782553267,0.6250282796700092
10,1591.9765543158833,0.647856710827619
11,1582.368799398046,0.6287695427344913
12,1572.771114598247,0.6090162247339859
13,1577.876421599184,0.6196104232988177
14,1538.6769039419041,0.5345405398365176
15,1504.179812200709,0.4552801070785138
16,1493.1554825914304,0.42872187037973625
17,1473.4389655915083,0.3819785254082674
18,1479.630421898709,0.3946960225637234
19,1462.1102114195623,0.35282326806039077
20,1435.229369555056,0.2912133500603088
21,1463.2923958905185,0.35199190367088545
22,1459.0226111582067,0.3403289680414233
23,1460.3982870852694,0.34162204043170014
24,1433.3138784441285,0.2785520833440621
25,1423.1446382113486,0.2544866677841353
26,1425.3011989725974,0.25673472167480726
27,1403.9225715833823,0.21055884772738737
28,1410.9638892328232,0.22208207624210685
29,1399.9151660839623,0.19777409340418134
30,1394.618505413764,0.18517771365633479
31,1383.6783067377455,0.16280578616602587
32,1417.9383768919674,0.22623360002345166
33,1417.7609003826938,0.22320827159455808
34,1398.21287001655,0.18128032334453187
35,1413.5235363536935,0.208904229094795
36,1391.0407252149882,0.16238321466293693
37,1394.9476367751429,0.16671034414521257
38,1359.4614459387665,0.10590868154919048
39,1335.9476716641366,0.07386897820046621
40,1339.4879974678604,0.07547835479282676
41,1352.6562739595424,0.08887319670226751
42,1355.785394681388,0.09028399339722837
43,1353.7923226421356,0.08504949430096836
44,1348.502963342067,0.07595478090697244
45,1322.5563491473856,0.047479063909838096
46,1310.1404958293633,0.03604209064853471
47,1302.2813355785458,0.029295111121623967
48,1320.6170333307482,0.039760344939525044
49,1326.6796458881404,0.0424051217856215
50,1296.2842320192822,0.021477560650477096
51,1301.9000033420493,0.022725939776996603
52,1295.3792410031463,0.01826990224354844
53,1283.944449261982,0.012814778068756071
54,1294.4024392976025,0.015255440489359798
55,1312.1754803572203,0.021535446036375326
56,1328.4459406559954,0.028979658084569034
57,1313.906551743374,0.019128051640747292
58,1308.6332054129182,0.015350491575851612
59,1314.4268109375619,0.016229235560092
60,1331.5015489721081,0.02278397043068212
61,1323.1910524238424,0.016814235821333807
62,1320.0276454744712,0.01392126306780209
63,1300.9933723436586,0.007061153169184443
64,1280.7160910000966,0.0031022456381977876
65,1294.5692364479082,0.004243907033394963
66,1317.9805830525625,0.007895670030916058
67,1316.8000062927224,0.006508377336824432
68,1334.3975694871083,0.009924628530030158
69,1340.8417290266805,0.010488098787685238
70,1329.5626348408491,0.006005323596485675
71,1335.9792130704332,0.006250512547121557
72,1363.4013847400631,0.013596277004679346
73,1362.829720020799,0.011167219411589765
74,1391.290694497503,0.024460753939306332
75,1344.1560842289523,0.003364904625355278
76,1358.8633175607279,0.004796805844221997
77,1360.4944076667948,0.003819926731079655
78,1355.2162958205906,0.002077350947870411
79,1356.927282464447,0.0014885147488478874
80,1321.9222682109428,9.045592431490456e-05
81,1318.1710113989534,2.8602845226300186e-05
82,1324.4578662513043,1.6822462559221424e-05
83,1350.5728699406052,5.155451490661193e-05
84,1341.4521340928875,5.166092649192636e-06
85,1327.3076129805352,1.0153481832642059e-07
86,1318.630869610889,6.557753119766e-10
87,1334.7021105738813,4.393484820653155e-11
88,1340.5667516709182,5.704606864587901e-15
89,1331.3120217777202,1.0321098860964522e-30
90,1340.4166511108301,0.0
